"Country","BiomeName","ForestArea","BurnedArea","Slope","Pvalue","ForestArea2","BurnedArea2","BurnedAreaPC","BurnedPY","BurnedPYPC","pcSlope"
"Australia","Mediterranean Forests, Woodlands, and Scrub",12912018.75,4983531.25,-2184.82142857143,0.820216749509663,12912.01875,4983.53125,38.596065777863,276.862847222222,2.14422587654794,-0.789134927453013
"Australia","Montane Grasslands and Shrublands",1115481.25,892556.25,0,0.938879939052363,1115.48125,892.55625,80.0153521182001,49.5864583333333,4.44529733990001,0
"Australia","Temperate Broadleaf and Mixed Forests",27888068.75,7070268.75,-9930,0.448718015619145,27888.06875,7070.26875,25.3523067996596,392.792708333333,1.40846148886998,-2.52805100230454
"Australia","Temperate Grasslands, Savannas, and Shrublands",2429162.5,426450,130.625,0.495366298803089,2429.1625,426.45,17.5554331997139,23.6916666666667,0.97530184442855,0.551354203306367
"Australia","Total",44344731.25,13372806.25,-7487.5,0.324712384363857,44344.73125,13372.80625,30.1564715199396,742.933680555555,1.67535952888553,-1.00782885417188
"Canada","Boreal Forests/Taiga",362556431.3,27065068.75,13563.8392857143,0.595912394811716,362556.4313,27065.06875,7.4650637565452,1503.61493055556,0.414725764252511,0.902081976580448
"Canada","Temperate Broadleaf and Mixed Forests",55947081.25,360918.75,280.208333333333,0.363315909666391,55947.08125,360.91875,0.64510737993146,20.0510416666667,0.0358392988850811,1.39747519351655
"Canada","Temperate Coniferous Forests",64650231.25,3270525,8851.5625,0.0690443198477513,64650.23125,3270.525,5.05879861025246,181.695833333333,0.281044367236248,4.8716375811223
"Canada","Temperate Grasslands, Savannas, and Shrublands",15843506.25,420125,152.34375,0.704853461217842,15843.50625,420.125,2.65171732425075,23.3402777777778,0.147317629125042,0.652707527521571
"Canada","Total",498997250.05,31116637.5,38603.125,0.255818049466537,498997.25005,31116.6375,6.23583346338724,1728.70208333333,0.346435192410402,2.23306984888711
"Chile","Mediterranean Forests, Woodlands, and Scrub",2700162.5,410081.25,2025,0.0188533773670192,2700.1625,410.08125,15.1872803951614,22.7822916666667,0.843737799731189,8.8884824653651
"Chile","Temperate Broadleaf and Mixed Forests",15879518.75,675962.5,1643.125,0.197801027037801,15879.51875,675.9625,4.25681981073891,37.5534722222222,0.236489989485495,4.37542763097065
"Chile","Total",18579681.25,1086043.75,3868.05555555556,0.129745046395717,18579.68125,1086.04375,5.84533036593402,60.3357638888889,0.324740575885223,6.41088353945226
"China","Montane Grasslands and Shrublands",6015812.5,20937.5,-11.8055555555556,0.704853461217842,6015.8125,20.9375,0.348041100017662,1.16319444444444,0.0193356166676479,-1.01492537313433
"China","Temperate Broadleaf and Mixed Forests",75011268.75,2876562.5,-3508.08823529412,0.0230465528229851,75011.26875,2876.5625,3.83484048188426,159.809027777778,0.213046693438015,-2.19517525641435
"China","Temperate Coniferous Forests",29731631.25,1134518.75,1265.625,0.363315909666391,29731.63125,1134.51875,3.81586445916922,63.0288194444444,0.211992469953846,2.00801000424189
"China","Temperate Grasslands, Savannas, and Shrublands",3155825,171581.25,-318.75,0.324712384363857,3155.825,171.58125,5.43696973057758,9.53229166666667,0.302053873920977,-3.34389684187521
"China","Total",113914537.5,4203600,-3193.75,0.288882804027164,113914.5375,4203.6,3.69013480829872,233.533333333333,0.205007489349929,-1.36757779046532
